SHIMPCONTROLS,0,NAME_SUB,ID_SHIMP,CONTROLABLE_SHIMP,CTRLTYPE_SHIMP,VREGLINELINE_SHIMP,REGBRANCH_SHIMP,REGBRANCHTYPE_SHIMP,REGBRANCHDIRECT_SHIMP,REGBRANCHEND_SHIMP,LOCALOVERRIDE_SHIMP,LOWLEVELOVER_SHIMP,HIGHLEVELOVER_SHIMP,ONLEVEL_SHIMP,OFFLEVEL_SHIMP,PHASESENSE_SHIMP,TIMESCHED_SHIMP,TDELAY_SHIMP,CTRLOVERRIDETYPE_SHIMP,OVERRIDESCHED_SHIMP,LOCALPERM_SHIMP,PERMSCHED_SHIMP,PERMCTRLLEVEL1_SHIMP,PERMCTRLLEVEL2_SHIMP,LOWTLEVELOVER_SHIMP,HIGHTLEVELOVER_SHIMP,REGUSEUNREGULATEDNODE_SHIMP,REGTF_SHIMP
SHIMPCONTROLS,1,SAN PEDRO,2135_3698148_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.017,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,PEÑABLANCA,2135_3698155_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,PEÑABLANCA,2135_3698162_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN SEBASTIAN,2135_3698169_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN PEDRO,2135_3698176_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SAN PEDRO,2135_3698183_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,QUILPUE,2135_3698190_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,QUILPUE,2135_3698204_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,QUILPUE,2135_3698211_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,MAYACA,2135_3698218_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,LAS VEGAS,2135_3698225_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN FELIPE,2135_3698232_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,REÑACA,2135_3698239_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,PEÑABLANCA,2135_3698246_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,Bosquemar,2135_3698253_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN PEDRO,2135_3698260_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,LA CALERA,2135_3698267_shunt_impedance_capacitor,1,2,TRUE,,,,,TRUE,0.9932,1.0368,,,AC,,1,1,,,,,,,,,
SHIMPCONTROLS,1,PEÑABLANCA,2135_3698274_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.017,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,SAN RAFAEL,2135_3698281_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,LA CALERA,2135_3698288_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,LA CALERA,2135_3698295_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN RAFAEL,2135_3698302_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN FELIPE,2135_3698316_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.017,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,SAN FELIPE,2135_3698323_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,MAYACA,2135_3698330_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SAN RAFAEL,2135_3698337_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN FELIPE,2135_3698344_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,LA CALERA,2135_3698351_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.9583,1.05,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,MIRAFLORES,2135_3698358_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,PLACERES,2135_3698365_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,CONCON,2135_3698372_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN RAFAEL,2135_3698379_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN RAFAEL,2135_3698386_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN FELIPE,2135_3698393_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,LA CALERA,2135_3698400_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.017,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,SAN FELIPE,2135_3698407_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,REÑACA,2135_3698414_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,QUILPUE,2135_3698421_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,PANQUEHUE,2135_3698428_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,PANQUEHUE,2135_3698435_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,CONCON,2135_3698442_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.067,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,CONCON,2135_3698449_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.067,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,CONCON,2135_3698456_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.067,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,LA CALERA,2135_3698463_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.067,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,PLAYA ANCHA,2135_3698470_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN PEDRO,2135_3698477_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,LA CALERA,2135_3698484_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,QUILPUE,2135_3698491_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,QUINTERO,2135_3698498_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,QUINTERO,2135_3698505_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN ANTONIO,2135_3698512_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,MIRAFLORES,2135_3698519_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,PLACERES,2135_3698526_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN RAFAEL,2135_3698533_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.067,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,QUINTERO,2135_3698540_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN ANTONIO,2135_3698547_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,PLAYA ANCHA,2135_3698554_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,PLAYA ANCHA,2135_3698561_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,PLAYA ANCHA,2135_3698568_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_PARRAL,2135_11501409_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_PARRAL,2135_11501416_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_SAN GREGORIO,2135_11501423_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_LONGAVI,2135_11501430_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_PARRAL,2135_11501437_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_SAN GREGORIO,2135_11501444_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_SAN GREGORIO,2135_11501451_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_ YERBAS BUENAS,2135_11501458_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_CONSTITUCION,2135_11501465_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_CONSTITUCION,2135_11501472_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_LINARES NORTE,2135_11501479_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_PANIMAVIDA,2135_11501493_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_PANIMAVIDA,2135_11501500_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_LAS_BALANDRAS,2135_11501514_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_EL_TOTORAL,2135_11501521_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,QUINTAY,2135_11501535_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_LAS_BALANDRAS,2135_11501570_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_SAN_GERONIMO,2135_11501591_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_PANIMAVIDA,2135_11501598_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_PARRAL,2135_11501605_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_PANIMAVIDA,2135_11501612_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_LAS_BALANDRAS,2135_11501619_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_ YERBAS BUENAS,2135_11501626_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_LAS_BALANDRAS,2135_11501633_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_LAS_PIÑATAS,2135_11501640_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_ YERBAS BUENAS,2135_11501647_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_PANIMAVIDA,2135_11501654_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_SAN GREGORIO,2135_11501661_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_LINARES NORTE,2135_11501668_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_CASABLANCA,2135_11501675_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_CASABLANCA,2135_11501682_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_CASABLANCA,2135_11501689_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_CASABLANCA,2135_11501696_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_CASABLANCA,2135_11501703_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_CASABLANCA,2135_11501710_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_PASO HONDO,2135_11501717_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
